date,source,title,text
2012-01-18,Dow Jones Chinese Financial Wire,DJ MARKET TALK: Daiwa Cuts TSMC To Outperform; Target NT$86.00,"steady cash dividend. The house keeps its price target at NT$86.00. ""We are more cautious than the market about the prospects for the semiconductor industry, as we see slow demand in 2012."" TSMC reduced its 2012 capital spending by 18% after reporting a 22%"
2012-01-18,Dow Jones Chinese Financial Wire,"DJ MARKET TALK: Nikkei +1.3%, Taps New Year High; US Earnings Hopes","(IBM) later Thursday. ""Market sentiment is looking positive,"" says Monex senior market analyst Toshiyuki Kanayama, noting Dutch semiconductor equipment maker ASML's(ASML) bullish outlook. Kanayama tips the Nikkei to stay near its present level through the"
2012-01-20,Dow Jones International News,ONSemiconductorCut To Hold From Buy By Needham Research,ON Semiconductor Cut To Hold From Buy By Needham Research
2012-01-20,Theflyonthewall.com,SemiconductorHolders Trust volatility low as trust trends higher,"SemiconductorHolders Trust call option implied volatility is at 23, May is at 25; below its 26-week average is 32 according to Track Data, suggesting decreasing price movement."
2012-01-20,Financial Times (FT.Com),S&P 500 poised for best January in 15 years,"Linear Technology sparked a rally in semiconductor stocks on Wednesday as the company said orders for circuit products had picked up in December and January, paving the way for a strong first quarter of 2012."
2012-01-21,M2 Presswire,"Market Maker Surveillance Report. XLY, NOK, TSM, S, RIMM, F, Highest Net Sell Volume and Negative Price Friction For Friday, January 20th","prices dropped faster with less Friction. Consumer Discretionary Select Sector SPDR Fund (NYSE:XLY), Nokia Oyj (NYSE:NOK), TAIWANSEMICONDUCTOR-SP ADR (NYSE:TSM), SPRINT NEXTEL CORP (NYSE:S), RESEARCH IN MOTION (NASDAQ:RIMM), Ford Motor Co (NYSE:F)."
2012-01-23,Jiji Press English News Service,Sony Develops New Small Image Sensor,"The new complementary metal oxide semiconductor image sensor is expected to improve the functions of endoscopes and also be used in smartphones and digital cameras, the major electronics maker said."
2012-01-24,Dow Jones International News,CypressSemiconductorCut To Hold From Buy By Needham Research,Cypress Semiconductor Cut To Hold From Buy By Needham Research
2012-01-24,Houston Business Journal Online,Texas Instruments to shutter Stafford plant,"Texas Instruments Inc. (NYSE: TXN) said it plans to close a semiconductor manufacturing plant in Stafford by the end of the year to cut costs, eliminating 500 jobs."
2012-01-24,Benzinga.com,Should AMD Blame Itself for its Losses?,"The semiconductor company failed to meet estimates of $1.72 billion of revenue, which analysts hoped would yield 16 cents earnings per share. Instead, the company's results show a loss largely due to the company's investment in Globalfoundries, which cost the"
2012-01-24,BusinessWorld,Outlook surprisingly bullish (Trade chief says electronics sector looking at double-digit recovery),"Trade Secretary Gregory L. Domingo, in a roundtable with BusinessWorld editors and reporters on Friday, relayed what he called a surprisingly upbeat outlook by theSemiconductorand Electronics Industries in the Philippines, Inc. (SEIPI)."
2012-01-25,Victoria Times Colonist,Canadian semiconductor shares leap,Shares of semi-conductor maker Gennum Corp. jumped almost 120 per cent on Tuesday following news that Californiabased Semtech Corp. agreed to buy the Canadian company in a deal worth about $500 million.
2012-01-25,MyPaper,BUSINESS ROUND-UP,"STMICROELECTRONICS, Europe’s largest semiconductor maker, predicted that first-quarter revenue will fall as much as 10 per cent from the previous three months because of lower sales at its wireless business."
2012-01-27,PR Newswire (U.S.),"Research Reports for Day Traders: Netflix , Caterpillar , General Electric , North American Palladium, Prudential Financial and CypressSemiconductor","NYSE: CAT), General Electric (NYSE: GE), North American Palladium (AMEX: PAL), Prudential Financial (NYSE: PRU) and CypressSemiconductor(NASDAQ: CY)."
2012-01-30,The Edge Malaysia (Weekly),Corporate: Is the worst over for the semiconductor industry?,It is no surprise that the woes of the global semiconductor sector have dragged down the earnings of Malaysian chip manufacturers in recent months.
2012-01-30,KBS World News - English Edition,S. Korea Posts Current Account Surplus Of $27.65B In 2011,"posted a current account surplus of 27-point-65 billion dollars in 2011, down one-point-74 billion dollars from the previous year as semiconductor and display panel sales slowed down. But the current account surplus was still larger than the central bank’s"
2012-01-31,The Wall Street Journal Online,Japan Output Beats Forecasts,"Trade and Industry, which released the data on Tuesday, said the gains came from increases in output of cars, mobile phones and semiconductor manufacturing equipment. But it said production as a whole remains ""flat,"" maintaining its assessment from the previous"
2012-02-01,Inside US-China Trade,NEWS BRIEFS,Taiwan Business Group Predicts No Advance OnSemiconductorCollaboration With China
2012-01-31,Dow Jones Chinese Financial Wire,*DJ AdvancedSemiconductorEngineering Target Raised To NT$28.8-BNP,"- - Copyright (c) 2012 Dow Jones & Company, Inc."
2012-01-31,Dow Jones Chinese Financial Wire,DJ MARKET TALK: BNP Ups ASE Target To NT$28.80; Keeps Hold,"1059 [ Dow Jones ] STOCK CALL: BNP Paribas raises AdvancedSemiconductorEngineering's (2311.TW) price target to NT$28.80 from NT$26.50, citing expectations for mid-teen percentage ROE for 2011-2013; the new price target implies 2012 P/E of 13X. The house says"
2012-01-31,Dow Jones International News,AdvancedSemiconductorEngineering Target Raised To NT$28.8-BNP,Advanced Semiconductor Engineering Target Raised To NT$28.8-BNP
2012-02-02,M2 Presswire,"Market Maker Surveillance Report. ASX, PFE, BP, KWK, AMZN, RHHBY, Bearishly Biased Price Friction For Wednesday, February 1st 2012","in their stock prices. This means that there was more buying than selling in the stocks and their stock prices dropped. ADVANCEDSEMICONDUCTORE-ADR (NYSE:ASX), PFIZER INC (NYSE:PFE), BP PLC-SPONS ADR (NYSE:BP), Quicksilver Resources Inc (NYSE:KWK), AMAZON."
2012-02-01,Benzinga.com,"Benzinga's Top ETF Decliners, February 1st","Direxion DailySemiconductorBear 3X Shares (NYSEARCA: SOXS) dropped 7.07% today as Broadcom Corporation (NASDAQ: BRCM ) gained 8.09%, after the company reported better than expected 4Q report."
2012-02-01,Dow Jones International News,SemiconductorMfg Target Raised To HK$0.42 Vs HK$0.37-Nomura,Semiconductor Mfg Target Raised To HK$0.42 Vs HK$0.37-Nomura
2012-02-02,Dow Jones International News,News Highlights: Top Equities Stories Of The Day,HynixSemiconductorInc. said Thursday it sees a brighter market for chips as well as a rebound in dynamic-random-access-memory prices from the second quarter following its reporting of a fourth-quarter net loss on weak PC demand. (published 0256 GMT)
2012-02-02,Dow Jones International News,News Highlights: Top Equities Stories Of The Day,HynixSemiconductorInc. said Thursday it sees a brighter market for chips as well as a rebound in dynamic-random-access-memory prices from the second quarter following its reporting of a fourth-quarter net loss on weak PC demand. (published 0256 GMT)
2012-02-02,Dow Jones International News,News Highlights: Top Equities Stories Of The Day,HynixSemiconductorInc. said Thursday it sees a brighter market for chips as well as a rebound in dynamic-random-access-memory prices from the second quarter following its reporting of a fourth-quarter net loss on weak PC demand. (published 0256 GMT)
2012-02-03,M2 Presswire,"Market Maker Surveillance Report. PFE, SIRI, TSM, F, ORCL, SAPX, Highest Net Sell Volume and Negative Price Friction For Thursday, February","stocks and their stock prices dropped faster with less Friction. PFIZER INC (NYSE:PFE), Sirius XM Radio Inc (NASDAQ:SIRI), TAIWANSEMICONDUCTOR-SP ADR (NYSE:TSM), Ford Motor Co (NYSE:F), Oracle Corp (NASDAQ:ORCL), Seven Arts Pictures PLC (NASDAQ:SAPX)."
2012-02-02,Dow Jones International News,"HynixSemiconductorTarget Raised To KRW28,000 Vs KRW23,500-Nomura","Hynix Semiconductor Target Raised To KRW28,000 Vs KRW23,500-Nomura"
2012-02-02,Dow Jones International News,"HynixSemiconductorTarget Raised To KRW33,500 Vs KRW27,000 By UBS","Hynix Semiconductor Target Raised To KRW33,500 Vs KRW27,000 By UBS"
2012-02-03,Dow Jones International News,"HynixSemiconductorTarget Raised To KRW37,000 Vs KRW30,000-HSBC","Hynix Semiconductor Target Raised To KRW37,000 Vs KRW30,000-HSBC"
2012-02-02,Dow Jones International News,"HynixSemiconductorTarget Raised To KRW32,000 Vs KRW28,000-Daiwa","Hynix Semiconductor Target Raised To KRW32,000 Vs KRW28,000-Daiwa"
2012-02-02,Dow Jones International News,"HynixSemiconductorTarget Raised To KRW33,000 Vs KRW27,000-BarCap","Hynix Semiconductor Target Raised To KRW33,000 Vs KRW27,000-BarCap"
2012-02-04,Taipei Times,ASE shares extend losses on disappointing earnings; FOREIGN SELLING:Analysts say worse-than-expected fourth-quarter earnings weree largel... semiconductor business,"Shares of AdvancedSemiconductorEngineering Inc (ASE, ), one of Taiwans leading integrated-circuit packaging and testing service providers, extended their losses yesterday morning after the company reported worse-than-expected pretax earnings for the fourth"
2012-02-06,Benzinga.com,"Benzinga's Top ETF Gainers, February 6th","Direxion DailySemiconductorBear 3X Shares (NYSEARCA: SOXS) gained 3.43% today as Advanced Micro Devices, Inc. (NYSE: AMD ) fell 2.26%, and Broadcom Corporation (NASDAQ: BRCM ) lost 1.42%."
2012-02-06,Electronic Engineering Times,Proposals emerge to fix ‘dysfunctional’ R&D tax credit,"One of the most intriguing ideas comes from a tax expert who has worked for computer and chip makers, including Apple and MarvellSemiconductor."
2012-02-07,Dow Jones International News,UK SMALLCAP ROUNDUP: Wolfson Revenue Falls On Weak Consumer Spending,"WOLFSON MICROELECTRONICS PLC (WLF.LN), a semiconductor company, Tuesday reported a fall in fourth-quarter revenue as strong growth in sales from devices such as tablets and smartphones was offset by weaker consumer spending in other areas."
2012-02-07,Washington Post.com,"President Obama’s Google Plus ‘hangout’ claims about engineering demand; In a Google Plus videoconference, the president said,, “There... semiconductor engineer still looking for work?","Saul Loeb AFP/Getty Images ""There's a huge demand around this country for engineers. . . . Where you're seeing a lot of specialized demand is in engineering that's related to the high-tech industries."""
2012-02-08,Benzinga.com,"Benzinga's Top ETF Decliners, February 8th","Direxion DailySemiconductorBear 3X Shares (NYSEARCA: SOXS) fell 3.89% as NVIDIA Corporation (NASDAQ: NVDA) gained 3.62%. SOXS closed at $33.62, and it had a volume of 198K traded shares."
2012-02-08,Dow Jones International News,UK MARKET TALK ROUNDUP: SHARES GAINING,12 EPS estimate to $0.38 from $0.37. Says AZ Electronics Materials is a structural growth story also offering access to the semiconductor recovery and has an attractive valuation versus its UK chemicals peers. Rates the stock at buy. Shares +0.3% at 311p. (
2012-02-09,Dow Jones International News,ONSemiconductorRaised To Outperform From Neutral By Wedbush,ON Semiconductor Raised To Outperform From Neutral By Wedbush
2012-02-10,PR Newswire (U.S.),"Critical Alerts For Pepsi, Bunge, ONSemiconductor, Cree, and KB Home Released By Seven Summits Research","CHICAGO, Feb. 10, 2012 /PRNewswire/ -- Seven Summits Research issues critical PriceWatch Alerts for PEP, BG, ONNN, CREE, and KBH. To see what our analysts have discovered about these stocks read the Seven Summits Strategic Investments'"
2012-02-10,Dallas Business Journal Online,Slideshow: Top DFW Mergers and Acquisitions,"Texas Instruments ' acquisition of NationalSemiconductorCorp. for $6,331.83 billion led the way in the Top 25 North Texas Mergers and Acquisitions."
2012-02-10,Dow Jones News Service,"PRICE TARGET CHANGES: FRIEDMAN, BILLINGS & RAMSEY",25.00 $38.49 12 Months ONSemiconductorONNN $12.00 $11.00 $9.40 12 Months Prudential Financial PRU $75.00 $66.00 $58.84 12 Months Wyndham Worldwide WYN $48.00 $45.00 $44.15 12 Months Taleo Corporation TLEO $46.00 $31.00 $45.66 12 Months
2012-02-09,Dow Jones International News,SemiconductorManufacturing Target Raised To HK$0.41 Vs HK$0.35-CS,Semiconductor Manufacturing Target Raised To HK$0.41 Vs HK$0.35-CS
2012-02-10,CQ FD Disclosure,Q4 2011 AdvancedSemiconductorEngineering Earnings Conference Call - Final,Presentation OPERATOR: Thank you for standing by and welcome to ASE Incorporated Q4 2011 earnings conference call. At this time all participants are on a listen-only mode. (Operator Instructions). Today's conference is being recorded.
2012-02-11,Taipei Times,ASE reports 46 percent fall in net profit; SWINGS AND ROUNDABOUTS:ASE is hoping demand for consumer electronics and computers will be offset,"AdvancedSemiconductorEngineering Inc (ASE, ), the worlds largest chip packager, yesterday reported an annual fall of 46 percent in net profits, blaming sluggish demand amid a global economic downturn."
2012-02-12,Benzinga.com,Seven Japanese Stocks Up More Than 10% Year to Date,Advantest (NYSE: ATE) rose more than 33% in the past month but is still down about 41% from a year ago. This Tokyo-based maker of semiconductor testing systems announced in January the launch of a diesel emissions analysis service. The company was founded in
2012-02-13,Dow Jones International News,SemiconductorSector Cut To Mkt Weight From Overweight By Benchmark Co,Semiconductor Sector Cut To Mkt Weight From Overweight By Benchmark Co
2012-02-12,Dow Jones International News,AdvancedSemiconductorTarget Raised To N$30 Vs NT$27- Fubon,Advanced Semiconductor Target Raised To N$30 Vs NT$27- Fubon
2012-02-13,Dow Jones International News,AdvancedSemiconductorRaised To Overweight Vs Neutral - HSBC,Advanced Semiconductor Raised To Overweight Vs Neutral - HSBC
2012-02-14,The Daily Express,SMALL COMPANIES ROUNDUP,communications technology firm Toumaz advanced 1p to 9.88p as it raised £11.2million through a placing at 8¾p to invest in its wireless semiconductor chips business Toumaz Microsystems.
2012-02-15,Business Wire,Mindspeed Reports Inducement Equity Grant,"Mindspeed Technologies, Inc. (NASDAQ: MSPD), a leading supplier of semiconductor solutions for network infrastructure applications, today announced that on February 10, 2012, the compensation and management development committee of its board of directors granted"
2012-02-16,Business Wire,Ramtron Reports Fourth-Quarter and Full-Year 2011 Financial Results,"U.S. semiconductor maker Ramtron International Corporation (Nasdaq: RMTR), a leading developer and supplier of nonvolatile ferroelectric random access memory (F-RAM) and integrated semiconductor products, today reported total revenue of $17.0 million for the"
2012-02-16,Dow Jones News Service,"PRICE TARGET CHANGES: FRIEDMAN, BILLINGS & RAMSEY",Span INCREASE: Host Hotels & Resorts HST $15.00 $13.00 $16.29 12 Months FairchildSemiconductorFCS $18.00 $16.00 $15.62 12 Months Fossil FOSL $110.00 $90.00 $118.69 12 Months EnergySolutions ES $7.00 $6.00 $4.57 12 Months NICE-Systems Ltd. NICE $41.00 $38.
2012-02-16,Benzinga.com,"Benzinga's Top ETF Gainers, February 16th","Direxion DailySemiconductorBull 3X Shares (NYSEARCA: SOXL) spiked 7.40% on Thursday as Advanced Micro Devices, Inc. (NYSE: AMD) traded 3.97% higher."
2012-02-17,Taipei Times,"Siliconware to feel pricing pressure, analyst says","While Siliconware expects the global IC sector to bottom out in the first quarter of this year, Grand Cathay Securities analyst Mars Hsu said he is not optimistic, as the semiconductor business remains haunted by uncertainty."
2012-02-19,Israel Business Arena,Tower to raise $40m in convertible bonds; The company is expanding its Series 6 Bond.,"Specialty foundry TowerSemiconductorLtd. (Nasdaq: TSEM; TASE: TSEM) plans to raise $40 million in an offering of convertible bonds, by expanding its Series 6 Bond."
2012-02-20,Dow Jones International News,INTERVIEW: PhilippineSemiconductorIndustry Expects Export Rebound This Year,--Philippine semiconductor industry expects to see a recovery this year
2012-02-21,Israel Business Arena,"Tower raises NIS 240m in debt in Israel; The company expanded its Series F Bond, which is traded on the TASE.","Specialty foundry TowerSemiconductorLtd. (Nasdaq: TSEM; TASE: TSEM) (which markets as TowerJazz) raised NIS 240 million ($64 million) from Israeli institutional investors in its convertible bond offering. Tower expanded its Series F Bond, which is traded"
2012-02-21,Dow Jones International News,PhilippineSemiconductorIndustry 2011 Investments Hits New High Of $2.48 Bln,"MANILA (Dow Jones)--The Philippine semiconductor industry said Tuesday it secured $1.88 billion of investments in November and December, pushing the total electronics-related investments in 2011 to an all-time high of $2.48 billion."
2012-02-21,Dow Jones International News,TaiwanSemiconductorMfg Cut To Neutral Vs Buy By BoA-ML,Taiwan Semiconductor Mfg Cut To Neutral Vs Buy By BoA-ML
2012-02-21,Dow Jones International News,AdvancedSemiconductorCut To Neutral Vs Buy By BoA-ML,Advanced Semiconductor Cut To Neutral Vs Buy By BoA-ML
2012-02-22,Dow Jones International News,TaiwanSemiconductorMfg (ADR) Cut To Neutral From Buy By BofA-Merrill Lynch,Taiwan Semiconductor Mfg (ADR) Cut To Neutral From Buy By BofA-Merrill Lynch
2012-02-22,Dow Jones International News,AdvancedSemiconductorCut To Neutral From Buy By BofA-Merrill Lynch,Advanced Semiconductor Cut To Neutral From Buy By BofA-Merrill Lynch
2012-02-22,The Wall Street Journal (Asia Edition),Corporate News: Corporate Watch,HYNIXSEMICONDUCTOR
2012-02-27,Dow Jones International News,UK MARKET TALK ROUNDUP: BROKERS COMMENTS,"Dow Jones] HSBC raises Premier Farnell (PFL.LN) to overweight from neutral and target to 270p from 220p. HSBC says the group's semiconductor book to bill ratio is improving and signaling an improving market. ""Given concerns regarding near-term performance,"
2012-02-28,Maeil Business Newspaper,"KOSPI regains 2,000, led by semicon stocks","South Korean stocks regained the 2,000 mark briefly in Tuesday morning trade, powered by Samsung Electronics and other semiconductor stocks."
2012-02-28,Financial Times (FT.Com),Semiconductorstocks drive Nasdaq rally,US stocks generally opened flat but a strong show by semiconductor companies helped the tech-heavy Nasdaq Composite index buck the trend and post a healthy gain.
2012-02-28,The Wall Street Journal Online,Prices of Chips and Chip Makers Rise,"Share prices of Elpida rivals Samsung Electronics Co . and HynixSemiconductorInc., of South Korea, and Micron Technology Inc. of the U.S. were also higher after Elpida announced late Monday it filed for bankruptcy protection with debt exceeding $5.5 billion"
2012-02-28,Business Times Singapore,Aldon to tap govt's PIC scheme even more,"(SINGAPORE) Aldon Technologies Services Pte Ltd, a product and service provider in the semiconductor and precision engineering industries, has reached its maximum quota for the number of non S-pass holders it can hire."
2012-02-29,Taiwan Economic News,FPG Urges the Gov’t to Integrate the DRAM Industry,"of the U.S. to cooperate with FPG and integrate the domestic DRAM industry, thereby forming a force which will surpass HynixSemiconductorof South Korea and become the world’s second largest DRAM manufacturing force."
2012-02-29,Financial Times,Record price for Apple helps push Nasdaq to 11-year highs,The Nasdaq Composite index hit fresh 11-year highs as Apple shares reached record levels and semiconductor stocks continued to rally on hopes that the bankruptcy filing of Japanese chipmaker Elpida will drive up prices of computer memory.
2012-02-29,Dow Jones News Service,S&P SeesSemiconductorComponents Industries LLC Outlk Pos,S&P Sees Semiconductor Components Industries LLC Outlk Pos
2012-03-01,Taiwan Economic News,President Ma Vows to Enhance Global Status of Taiwan’s Green Energy Industry,"Ma said that Taiwan’s semiconductor and optoelectronics industries have prospered, leading to the island outstripping Japan last year as the world’s No.2 photovoltaic-product manufacturer with revenue totaling NT$195 billion (US$6.5 billion)."
2012-03-01,China Daily - Hong Kong Edition,Economic optimism boosts equities markets across Asia,"Yue Yuen Industrial Holdings Ltd , which makes shoes for Nike Inc , gained 1.4 percent in Hong Kong. HynixSemiconductorInc, a South Korean chipmaker, gained 1.2 percent, rising for a second day in Seoul."
2012-03-02,Korean News,Economic Depression in Japan and Ireland,"Pyongyang, March 2 (KCNA) -- Struggling Japanese semiconductor maker Elpida Memory Inc. said Monday it has filed with the Tokyo District Court for bankruptcy protection under the corporate rehabilitation law, giving up on efforts to rebuild after receiving"
2012-03-04,Taipei Times,Asian stocks extend gains,"Tokyo. China Overseas Land and Investment Ltd led mainland developers in Hong Kong trading lower after home prices declined. HynixSemiconductorInc advanced 5.6 percent in Seoul after the bankruptcy filing of rival Elpida Memory Inc, which tumbled 98 percent"
2012-03-05,Benzinga.com,"Benzinga's Top ETF Gainers, March 5th (KOLD, SOXS, YANG)","Direxion DailySemiconductorBear 3X Shares (NYSEARCA: SOXS) jumped 7.50% today, and it closed at $37.40. In the semiconductor space, Advanced Micro Devices, Inc. (NYSE: AMD ) lost 5.23%, and Broadcom Corporation (NASDAQ: BRCM ) fell 3.87%."
2012-03-05,Benzinga.com,"Benzinga's Top ETF Decliners, March 5th (SOXL, YINN, NUGT)","Direxion DailySemiconductorBull 3X Shares (NYSEARCA: SOXL) lost 7.48% as Advanced Micro Devices, Inc. (NYSE: AMD ) plunged 5.23%, and Broadcom Corporation (NASDAQ: BRCM ) slipped 3.87%."
2012-03-05,Dow Jones International News,VolterraSemiconductorStarted At Neutral By Brigantine,Volterra Semiconductor Started At Neutral By Brigantine
2012-03-05,Dow Jones International News,ONSemiconductorStarted At Buy By Brigantine,ON Semiconductor Started At Buy By Brigantine
2012-03-05,Investor's Business Daily,"SAP And Seagate Lead Tech Stock Resurgence Many Are Top World Stocks But sales, profit outlooks are mixed, and none are in buying range as","Tech stocks made up a third of the Top World Stocks screen on Friday, led by software, data storage and semiconductor names. German software developer SAP (SAP) was near a new high after clearing resistance around 64."
2012-03-05,San Diego Business Journal,"Cymer's Revenue, R&D Spending Increase","Cymer develops light sources used by chipmakers worldwide to pattern advanced semiconductor chips, and is pioneering new crystallization tools for the flat-panel display industry. Support the installed base of Cymer light sources with OnPulse products: maintain"
2012-03-07,M2 Presswire,"Market Maker Surveillance Report. ASX, NOK, CSCO, MSFT, SCHW, ALU, Bearishly Biased Price Friction For Tuesday, March 6th 2012","in their stock prices. This means that there was more buying than selling in the stocks and their stock prices dropped. ADVANCEDSEMICONDUCTORE-ADR (NYSE:ASX), Nokia Oyj (NYSE:NOK), CISCO SYSTEMS INCORPORATED (NASDAQ:CSCO), MICROSOFT CORPORATION (NASDAQ:MSFT"
2012-03-07,Benzinga.com,"Benzinga's Top ETF Gainers, March 7th (SOXL, KOLD, FAS)","Direxion DailySemiconductorBull 3X Shares (NYSEARCA: SOXL) jumped 4.81% on Wednesday, and it closed at $36.85. In the semiconductor space, Advanced Micro Devices, Inc. (NYSE: AMD ) gained 3.91%, and Broadcom Corporation (NASDAQ: BRCM ) added 2.93%."
2012-03-07,PR Newswire (U.S.),"Equity Research on Most Popular Searches: Melco Crown Entertainment, Frontier Communications, Vermillion, ONSemiconductor, and NutriSystem","following companies: Melco Crown Entertainment (NASDAQ:MPEL), Frontier Communications (NASDAQ:FTR), Vermillion (NASDAQ:VRML), ONSemiconductor(NASDAQ:ONNN), and NutriSystem (NASDAQ:NTRI)."
2012-03-08,Kyodo News,Japan bankruptcies rise for 1st time in 3 months in Feb.,"Liabilities left by the bankrupt companies soared 53.8 percent to 631.26 billion yen, with major semiconductor maker Elpida Memory Inc. failing with 448.03 billion yen in liabilities, according to Tokyo Shoko Research, which tracks business failures with debts"
2012-03-08,Business Wire,Diodes Incorporated Raises First Quarter 2012 Revenue Guidance,"global manufacturer and supplier of high-quality application specific standard products within the broad discrete, logic and analog semiconductor markets, today stated that it is raising its revenue guidance for the first quarter of 2012 to $140 million to"
